gene_name	Dex FPKM	Untreated FPKM	Ln[Fold Change]	stat	P-Value	padj	Locus	log2FoldChange
PREB	50.92	23.13	-1.14	3.56	0.00038	0.02	chr2:27346656-27357542	-1.644672346613418
HMGB2	41.04	17.11	-1.26	3.56	0.00038	0.02	chr4:174252526-174255595	-1.817795751520094
C14orf132	16.76	36.73	1.13	-3.55	0.00038	0.02	chr14:96505660-96560226	1.6302453962045285
TMEM200A	3.71	8.63	1.22	-3.54	0.00039	0.021	chr6:130758261-130764210	1.7600879498845354
NCKAP5	0.22	1.05	2.26	-3.54	0.0004	0.021	chr2:133429371-134326031	3.260490792409057
MAFF	18.26	7.44	-1.3	3.53	0.00041	0.022	chr22:38597938-38612517	-1.8755035531556525
NAMPT	21.51	9.94	-1.11	3.52	0.00043	0.022	chr7:105888731-105925638	-1.6013914953867496
TUBB3	7.43	20.54	1.47	-3.52	0.00043	0.023	chr16:89988416-90002505	2.1207617101067764
PHF17	18.27	7.9	-1.21	3.52	0.00043	0.023	chr4:129730778-129796379	-1.7456609994756458
ARMC8	13.62	5.48	-1.31	3.51	0.00044	0.023	chr3:137906147-138048728	-1.8899305035645422
NEK10	0.23	1.41	2.63	-3.51	0.00044	0.023	chr3:27257096-27410912	3.7942879575379735
NUAK1	3.86	1.5	-1.36	3.52	0.00044	0.023	chr12:106457124-106533811	-1.9620652556089904
PHLDA1	13.17	28.15	1.1	-3.52	0.00044	0.023	chr12:76419226-76425556	1.58696454497786
ARHGAP29	26.68	11.77	-1.18	3.51	0.00045	0.023	chr1:94634462-94703307	-1.7023801482489769
DDAH1	44.96	18.57	-1.28	3.5	0.00046	0.023	chr1:85784167-86044046	-1.8466496523378733
LOC148145	0.02	0.51	4.37	-3.5	0.00047	0.024	chr19:29456037-29460055	6.30457732868477
MICAL2	12.0	5.14	-1.22	3.5	0.00047	0.024	chr11:12132137-12285331	-1.7600879498845354
ANPEP	70.05	32.15	-1.12	3.49	0.00049	0.024	chr15:90328125-90358072	-1.6158184457956393
NYNRIN	5.76	12.42	1.11	-3.49	0.00048	0.024	chr14:24867991-24888494	1.6013914953867496
RN5-8S1	4.57	77.42	4.08	-3.49	0.00049	0.024	chrUn_gl000220:155996-156152	5.886195766826971
SLC6A6	2.04	8.36	2.04	-3.49	0.00049	0.024	chr3:14444105-14583588	2.9430978834134853
PNPLA2	65.95	31.15	-1.08	3.48	0.00049	0.025	chr11:818900-825571	-1.5581106441600807
KLF6	40.85	19.0	-1.1	3.48	0.0005	0.025	chr10:3818187-3827473	-1.58696454497786
RHOJ	4.95	11.66	1.24	-3.47	0.00052	0.026	chr14:63671101-63760230	1.7889418507023147
AASS	9.89	4.52	-1.13	3.47	0.00053	0.026	chr7:121713597-121784344	-1.6302453962045285
CBS	20.53	8.31	-1.3	3.46	0.00054	0.026	chr21:44473300-44496472	-1.8755035531556525
WASF3	14.7	6.85	-1.1	3.46	0.00054	0.026	chr13:27131839-27263082	-1.58696454497786
FLRT3	0.6	3.07	2.36	-3.44	0.00058	0.028	chr20:13976145-16033841	3.4047602964979538
LMOD1	104.56	46.06	-1.18	3.44	0.00058	0.028	chr1:201865583-201915716	-1.7023801482489769
RSPO1	14.07	5.4	-1.38	3.43	0.0006	0.029	chr1:38076950-38100595	-1.9909191564267694
TRIM45	0.69	2.67	1.96	-3.43	0.0006	0.029	chr1:117653676-117664411	2.827682280142368
AP1M1	59.1	27.69	-1.09	3.43	0.00061	0.029	chr19:16308664-16346156	-1.5725375945689704
FAM43A	15.33	6.62	-1.21	3.43	0.00061	0.029	chr3:194406621-194409766	-1.7456609994756458
FAM46B	2.44	0.49	-2.32	3.43	0.00061	0.029	chr1:27331510-27339333	-3.347052494862395
CIT	0.71	2.04	1.52	-3.41	0.00064	0.03	chr12:120123594-120315095	2.1928964621512246
PDE5A	25.67	61.64	1.26	-3.41	0.00064	0.03	chr4:120375937-120549981	1.817795751520094
SQRDL	86.31	41.15	-1.07	3.41	0.00064	0.03	chr15:45927255-45983479	-1.543683693751191
RTKN2	0.24	1.03	2.08	-3.41	0.00065	0.031	chr10:63952952-64028466	3.000805685049044
ARSI	1.38	4.66	1.75	-3.41	0.00066	0.031	chr5:149675908-149682525	2.5247163215556863
LINC00312	3.63	1.01	-1.84	3.4	0.00067	0.031	chr3:8613467-8616354	-2.654558875235693
FZD5	0.61	0.11	-2.5	3.4	0.00068	0.032	chr2:208627309-208634143	-3.6067376022224087
SAP30	23.59	9.18	-1.36	3.39	0.0007	0.033	chr4:174292092-174298683	-1.9620652556089904
G0S2	0.62	4.15	2.75	-3.38	0.00074	0.034	chr1:209848669-209849735	3.9674113624446496
VGLL3	70.61	29.39	-1.26	3.38	0.00073	0.034	chr3:86987122-87040257	-1.817795751520094
ING2	22.08	8.64	-1.35	3.37	0.00076	0.035	chr4:184426219-184432249	-1.9476383052001007
VEGFA	12.99	29.77	1.2	-3.37	0.00076	0.035	chr6:43737945-43754223	1.7312340490667562
TM4SF1	33.88	15.7	-1.11	3.35	0.00079	0.036	chr3:149086804-149095568	-1.6013914953867496
DUSP5	10.66	4.29	-1.31	3.35	0.00082	0.037	chr10:112257624-112271302	-1.8899305035645422
FADS3	61.17	29.54	-1.05	3.32	0.00091	0.041	chr11:61640997-61659006	-1.5148297929334118
CTGF	337.57	129.42	-1.38	3.31	0.00093	0.042	chr6:132269316-132272518	-1.9909191564267694
FAM46A	2.33	5.43	1.22	-3.31	0.00095	0.043	chr6:82455446-82462428	1.7600879498845354
RWDD4	15.63	7.08	-1.14	3.3	0.00096	0.043	chr4:184560788-184580331	-1.644672346613418
SEMA3A	2.81	6.36	1.18	-3.3	0.00097	0.043	chr7:83587658-83824217	1.7023801482489769
JUN	28.75	62.24	1.11	-3.29	0.00098	0.044	chr1:59246462-59249785	1.6013914953867496
SAMD12	0.18	0.78	2.09	-3.29	0.00098	0.044	chr8:119201694-119738306	3.0152326354579335
KLHDC5	8.93	4.27	-1.06	3.29	0.001	0.045	chr12:27933186-27955973	-1.5292567433423014
STK17B	15.31	7.27	-1.07	3.29	0.001	0.045	chr2:196998306-197036336	-1.543683693751191
CLIC2	3.6	8.81	1.29	-3.28	0.001	0.045	chrX:154505499-154563986	1.861076602746763
REV3L	42.43	19.34	-1.13	3.28	0.001	0.045	chr6:111620233-111804414	-1.6302453962045285
EBF1	9.67	4.56	-1.09	3.27	0.0011	0.047	chr5:158122922-158526788	-1.5725375945689704
SOX9	3.94	9.18	1.22	-3.27	0.0011	0.047	chr17:70117160-70122560	1.7600879498845354
APBB2	15.37	7.24	-1.09	3.26	0.0011	0.048	chr4:40812043-41216635	-1.5725375945689704
HSD11B1	34.04	13.85	-1.3	3.26	0.0011	0.048	chr1:209859524-209908295	-1.8755035531556525
AXIN2	6.7	2.85	-1.23	3.26	0.0011	0.048	chr17:63524682-63557740	-1.774514900293425
TXNRD1	388.43	135.73	-1.52	3.26	0.0011	0.048	chr12:104609558-104744062	-2.1928964621512246
GRAMD4	3.75	8.54	1.19	-3.26	0.0011	0.049	chr22:47022657-47075688	1.7168070986578665
ABCA6	22.25	10.93	-1.03	3.25	0.0012	0.049	chr17:67074846-67138015	-1.4859758921156323
